name,image_url
Uchuu Kyoudai,https://cdn.myanimelist.net/images/anime/1290/135694l.jpg
Bakemono no Ko,https://cdn.myanimelist.net/images/anime/11/73540l.jpg
Hotaru no Haka,https://cdn.myanimelist.net/images/anime/1485/141208l.jpg
Kuroko no Basket 2nd Season,https://cdn.myanimelist.net/images/anime/9/56155l.jpg
Major S5,https://cdn.myanimelist.net/images/anime/9/75218l.jpg
One Piece,https://cdn.myanimelist.net/images/anime/1770/97704l.jpg
Ghost in the Shell: Stand Alone Complex 2nd GIG,https://cdn.myanimelist.net/images/anime/1646/135390l.jpg
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,https://cdn.myanimelist.net/images/anime/3/79156l.jpg
Kara no Kyoukai 7: Satsujin Kousatsu (Kou),https://cdn.myanimelist.net/images/anime/9/56619l.jpg
Kingdom 2nd Season,https://cdn.myanimelist.net/images/anime/13/53589l.jpg
Slam Dunk,https://cdn.myanimelist.net/images/anime/12/86890l.jpg
Usagi Drop,https://cdn.myanimelist.net/images/anime/1460/98853l.jpg
Girls und Panzer der Film,https://cdn.myanimelist.net/images/anime/1776/91467l.jpg
Mob Psycho 100,https://cdn.myanimelist.net/images/anime/8/80356l.jpg
Nana,https://cdn.myanimelist.net/images/anime/2/11232l.jpg
Baccano!,https://cdn.myanimelist.net/images/anime/3/14547l.jpg
Mushishi Zoku Shou: Odoro no Michi,https://cdn.myanimelist.net/images/anime/8/63539l.jpg
Shingeki no Kyojin,https://cdn.myanimelist.net/images/anime/10/47347l.jpg
Bakuman. 2nd Season,https://cdn.myanimelist.net/images/anime/3/34923l.jpg
Cross Game,https://cdn.myanimelist.net/images/anime/6/22103l.jpg
Doukyuusei (Movie),https://cdn.myanimelist.net/images/anime/3/78606l.jpg
Evangelion: 2.0 You Can (Not) Advance,https://cdn.myanimelist.net/images/anime/5/74983l.jpg
Shinsekai yori,https://cdn.myanimelist.net/images/anime/1549/136389l.jpg
Uchuu Senkan Yamato 2199,https://cdn.myanimelist.net/images/anime/2/36607l.jpg
Chihayafuru 2,https://cdn.myanimelist.net/images/anime/6/47435l.jpg
Fate/Zero,https://cdn.myanimelist.net/images/anime/1887/117644l.jpg
JoJo no Kimyou na Bouken (TV),https://cdn.myanimelist.net/images/anime/3/40409l.jpg
Mahou Shoujo Madoka★Magica,https://cdn.myanimelist.net/images/anime/11/55225l.jpg
Nichijou,https://cdn.myanimelist.net/images/anime/3/75617l.jpg
Psycho-Pass,https://cdn.myanimelist.net/images/anime/1314/142015l.jpg
Barakamon,https://cdn.myanimelist.net/images/anime/1426/111248l.jpg
Diamond no Ace: Second Season,https://cdn.myanimelist.net/images/anime/9/74398l.jpg
Magi: The Kingdom of Magic,https://cdn.myanimelist.net/images/anime/13/55039l.jpg
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,https://cdn.myanimelist.net/images/anime/12/77732l.jpg
Major: World Series,https://cdn.myanimelist.net/images/anime/5/75220l.jpg
Samurai Champloo,https://cdn.myanimelist.net/images/anime/1370/135212l.jpg
Shokugeki no Souma: Ni no Sara,https://cdn.myanimelist.net/images/anime/8/79353l.jpg
Katanagatari,https://cdn.myanimelist.net/images/anime/1112/119225l.jpg
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,https://cdn.myanimelist.net/images/anime/12/77732l.jpg
Major S6,https://cdn.myanimelist.net/images/anime/2/75216l.jpg
Mononoke,https://cdn.myanimelist.net/images/anime/3/20713l.jpg
Shirobako,https://cdn.myanimelist.net/images/anime/1460/141897l.jpg
Ashita no Joe 2,https://cdn.myanimelist.net/images/anime/3/45028l.jpg
Hunter x Hunter,https://cdn.myanimelist.net/images/anime/1305/132237l.jpg
Noragami Aragoto,https://cdn.myanimelist.net/images/anime/1689/94850l.jpg
Sakamichi no Apollon,https://cdn.myanimelist.net/images/anime/1604/98654l.jpg
Tonari no Totoro,https://cdn.myanimelist.net/images/anime/1110/147278l.jpg
Ghost in the Shell: Stand Alone Complex,https://cdn.myanimelist.net/images/anime/11/50857l.jpg
Kaze no Tani no Nausicaä,https://cdn.myanimelist.net/images/anime/10/75914l.jpg
No Game No Life,https://cdn.myanimelist.net/images/anime/1074/111944l.jpg
Romeo no Aoi Sora,https://cdn.myanimelist.net/images/anime/4/17979l.jpg
Yuu☆Yuu☆Hakusho,https://cdn.myanimelist.net/images/anime/1228/111372l.jpg
Kino no Tabi: The Beautiful World,https://cdn.myanimelist.net/images/anime/1763/95397l.jpg
Kuroko no Basket,https://cdn.myanimelist.net/images/anime/11/50453l.jpg
Nodame Cantabile,https://cdn.myanimelist.net/images/anime/9/11986l.jpg
Ookami to Koushinryou II,https://cdn.myanimelist.net/images/anime/6/59399l.jpg
Shingeki no Kyojin: Kuinaki Sentaku,https://cdn.myanimelist.net/images/anime/8/69497l.jpg
Steins;Gate: Oukoubakko no Poriomania,https://cdn.myanimelist.net/images/anime/1805/123188l.jpg
Fate/stay night: Unlimited Blade Works 2nd Season,https://cdn.myanimelist.net/images/anime/1881/124810l.jpg
Kemono no Souja Erin,https://cdn.myanimelist.net/images/anime/1929/121700l.jpg
Kizumonogatari I: Tekketsu-hen,https://cdn.myanimelist.net/images/anime/1783/112810l.jpg
Neon Genesis Evangelion: The End of Evangelion,https://cdn.myanimelist.net/images/anime/1404/98182l.jpg
Toradora!,https://cdn.myanimelist.net/images/anime/13/22128l.jpg
Toki wo Kakeru Shoujo,https://cdn.myanimelist.net/images/anime/1/2432l.jpg
Tsubasa: Tokyo Revelations,https://cdn.myanimelist.net/images/anime/4/49129l.jpg
Owarimonogatari,https://cdn.myanimelist.net/images/anime/8/76479l.jpg
Rurouni Kenshin: Meiji Kenkaku Romantan,https://cdn.myanimelist.net/images/anime/1346/119505l.jpg
Stranger: Mukou Hadan,https://cdn.myanimelist.net/images/anime/9/87066l.jpg
Detective Conan Movie 06: The Phantom of Baker Street,https://cdn.myanimelist.net/images/anime/1400/94320l.jpg
Fate/stay night: Unlimited Blade Works,https://cdn.myanimelist.net/images/anime/12/67333l.jpg
Major S1,https://cdn.myanimelist.net/images/anime/13/73973l.jpg
